ApplicationName,LoggerName,RequestedURL,Details
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/footer,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/footer"",""transactionId"":""b23e72aa-875c-474e-af93-a12e079ddae1"",""httpVerb"":""GET"",""message"":""Request Finished in 4 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/alerts/?cacheBust=1474516812445,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/alerts/?cacheBust=1474516812445"",""transactionId"":""9670d897-1ccf-449f-af8b-674b8110aefe"",""httpVerb"":""GET"",""message"":""Request Finished in 14 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/Participant/Overview.aspx,"{""httpResponseStatusCode"":405,""requestedUrl"":""http://www.ABC.com/sams/Participant/Overview.aspx"",""transactionId"":""5f838b00-957c-4221-ba9f-df92d2757758"",""httpVerb"":""GET"",""message"":""Request Finished in 0 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims/?claimId=0118269765008&expand[0]=SpendingAccounts&expand[1]=payments&cacheBust=1474516812710,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims/?claimId=0118269765008&expand[0]=SpendingAccounts&expand[1]=payments&cacheBust=1474516812710"",""transactionId"":""aafe71ae-9dd6-4e09-b787-ee5c8a09dcc3"",""httpVerb"":""GET"",""message"":""Request Finished in 28 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/header,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/header"",""transactionId"":""f2118924-23f8-4634-8f61-1dd738700fd5"",""httpVerb"":""GET"",""message"":""Request Finished in 3 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/body,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/body"",""transactionId"":""61ec1f00-9f89-4200-b74c-6b49b54f3209"",""httpVerb"":""GET"",""message"":""Request Finished in 3 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/support,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/support"",""transactionId"":""efdb7f8b-4c10-4344-85c2-18bccda50f8a"",""httpVerb"":""GET"",""message"":""Request Finished in 3 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/menu,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/menu"",""transactionId"":""1ba5cba1-bcf7-409e-bc14-9d45c5da150f"",""httpVerb"":""GET"",""message"":""Request Finished in 4 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/menu,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/menu"",""transactionId"":""8e4f805e-8e8a-4051-b368-ee83c315bb17"",""httpVerb"":""GET"",""message"":""Request Finished in 3 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/menu,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/menu"",""transactionId"":""65ca7d36-ef3d-4b4e-bef0-88fed274e364"",""httpVerb"":""GET"",""message"":""Request Finished in 4 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/menu,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/menu"",""transactionId"":""17af3f1e-7292-4c2d-8ee2-d637cde92406"",""httpVerb"":""GET"",""message"":""Request Finished in 4 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/menu,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/menu"",""transactionId"":""68ae298b-4be5-4bb8-9045-08f2112e347c"",""httpVerb"":""GET"",""message"":""Request Finished in 4 milliseconds""}"
